Date,Year,Site,Treatment,Cluster,Structure,Replicate,Quad_Size_m2,Mussel_Count,Barnacle_Count,Notes
10/30/2019,2019,0,Reef Ball,1,3,4,0.04,52,95,3/4 sample
10/30/2019,2019,0,Reef Ball,1,4,4,0.04,85,113,
10/30/2019,2019,1,Reef Ball,1,1,1,0.04,171,452,
10/30/2019,2019,1,Reef Ball,1,2,1,0.04,147,283,3/4/sample
10/30/2019,2019,1,Reef Ball,1,3,1,0.04,132,571,
10/30/2019,2019,1,Reef Ball,1,4,1,0.04,98,338,
10/30/2019,2019,1,Reef Ball,1,1,2,0.04,97,258,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,1,2,2,0.04,141,275,3/4 sample
10/30/2019,2019,1,Reef Ball,1,3,2,0.04,128,533,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,1,4,2,0.04,74,345,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,2,1,1,0.04,25,195,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,2,2,1,0.04,127,337,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,2,3,1,0.04,99,495,< 1/8 of sample missing
10/30/2019,2019,1,Reef Ball,2,4,1,0.04,75,330,3/4 sample
10/30/2019,2019,1,Reef Ball,2,1,2,0.04,96,409,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,2,2,2,0.04,57,281,3/4 sample
10/30/2019,2019,1,Reef Ball,2,3,2,0.04,82,156,~3/4 sample 
10/30/2019,2019,1,Reef Ball,2,4,2,0.04,91,189,3/4 sample
10/30/2019,2019,1,Reef Ball,3,1,1,0.04,115,288,1/8 sample. Very few hydroids
10/30/2019,2019,1,Reef Ball,3,2,1,0.04,73,254,< 1/8 of sample missing. Very few hydroida
10/30/2019,2019,1,Reef Ball,3,3,1,0.04,60,323,
10/30/2019,2019,1,Reef Ball,3,4,1,0.04,110,287,1/8 of sample missing. Was labeled 1-A-1
10/30/2019,2019,1,Reef Ball,3,1,2,0.04,75,322,3/4 sample. Very few hydroids
10/30/2019,2019,1,Reef Ball,3,2,2,0.04,71,286,< 1/8 of sample missing. Very few hydroida
10/30/2019,2019,1,Reef Ball,3,3,2,0.04,118,317,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,3,4,2,0.04,113,178,1/8 of sample missing. Was labeled 1-A-1
10/30/2019,2019,1,Reef Ball,4,1,1,0.04,56,84,sample partially covered by hydroids
10/30/2019,2019,1,Reef Ball,4,2,1,0.04,131,328,< 1/8 of sample missing
10/30/2019,2019,1,Reef Ball,4,3,1,0.04,113,252,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,4,4,1,0.04,100,490,noted as quadrat rep 2 in the files
10/30/2019,2019,1,Reef Ball,4,1,2,0.04,58,352,3/4 sample
10/30/2019,2019,1,Reef Ball,4,2,2,0.04,184,356,1/8 of sample missing
10/30/2019,2019,1,Reef Ball,4,3,2,0.04,173,385,
10/30/2019,2019,1,Reef Ball,4,4,2,0.04,50,453,noted as quadrat rep 1 in the files
10/30/2019,2019,1,Reef Ball,A,2,1,0.04,161,451,< 1/8 of sample missing
10/30/2019,2019,1,Reef Ball,A,2,2,0.04,95,487,1/8 of sample missing
10/30/2019,2019,8,Reef Ball,1,1,1,0.04,37,504,1/8 of sample missing
10/30/2019,2019,8,Reef Ball,1,1,2,0.04,42,637,1/8 of sample missing
10/30/2019,2019,8,Reef Ball,3,1,1,0.04,45,663,labeled 8-1-2 rep 1
10/30/2019,2019,8,Reef Ball,3,2,1,0.04,54,769,3/4 sample. Labeled 8-1-3 rep 1. Portions of sample hard to see
10/30/2019,2019,8,Reef Ball,3,3,1,0.04,54,636,1/8 of sample missing
10/30/2019,2019,8,Reef Ball,3,4,1,0.04,47,702,<1/8 of sample missing
10/30/2019,2019,8,Reef Ball,3,1,2,0.04,29,8,labeled 8-1-2 rep 2
10/30/2019,2019,8,Reef Ball,3,2,2,0.04,27,597,3/4 sample. Labeled 8-1-3 rep 1
10/30/2019,2019,8,Reef Ball,3,3,2,0.04,26,719,"1/8 of sample missing, quadrat hard to see"
10/30/2019,2019,8,Reef Ball,3,4,2,0.04,27,677,1/8 of sample missing
10/5/2020,2020,0,Gabion Cage,1,1,1,0.025,138,73,
10/5/2020,2020,0,Gabion Cage,1,2,1,0.025,122,319,
10/5/2020,2020,0,Gabion Cage,1,3,1,0.025,97,890,
10/5/2020,2020,0,Gabion Cage,1,4,1,0.025,108,512,
10/5/2020,2020,0,Gabion Cage,1,1,2,0.025,149,458,
10/5/2020,2020,0,Gabion Cage,1,2,2,0.025,162,464,
10/5/2020,2020,0,Gabion Cage,1,3,2,0.025,103,554,
10/5/2020,2020,0,Gabion Cage,1,4,2,0.025,76,126,
10/5/2020,2020,1,Gabion Cage,1,1,1,0.025,193,523,
10/5/2020,2020,1,Gabion Cage,1,2,1,0.025,84,336,
10/5/2020,2020,1,Gabion Cage,1,3,1,0.025,128,789,
10/5/2020,2020,1,Gabion Cage,1,4,1,0.025,112,328,
10/5/2020,2020,1,Gabion Cage,1,1,2,0.025,226,655,
10/5/2020,2020,1,Gabion Cage,1,2,2,0.025,108,448,
10/5/2020,2020,1,Gabion Cage,1,3,2,0.025,144,1007,
10/5/2020,2020,1,Gabion Cage,1,4,2,0.025,193,673,
10/5/2020,2020,1,Gabion Cage,2,1,1,0.025,306,516,
10/5/2020,2020,1,Gabion Cage,2,2,1,0.025,154,536,
10/5/2020,2020,1,Gabion Cage,2,3,1,0.025,131,426,
10/5/2020,2020,1,Gabion Cage,2,1,2,0.025,215,464,
10/5/2020,2020,1,Gabion Cage,2,2,2,0.025,95,530,
10/5/2020,2020,1,Gabion Cage,2,3,2,0.025,115,680,
10/5/2020,2020,8,Gabion Cage,1,1,1,0.025,283,750,
10/5/2020,2020,8,Gabion Cage,1,2,1,0.025,261,835,
10/5/2020,2020,8,Gabion Cage,1,3,1,0.025,187,495,
10/5/2020,2020,8,Gabion Cage,1,1,2,0.025,201,412,
10/5/2020,2020,8,Gabion Cage,1,2,2,0.025,74,80,
10/5/2020,2020,8,Gabion Cage,1,3,2,0.025,456,601,
10/5/2020,2020,8,Gabion Cage,2,1,1,0.025,319,1116,
10/5/2020,2020,8,Gabion Cage,2,2,1,0.025,204,1111,
10/5/2020,2020,8,Gabion Cage,2,3,1,0.025,234,682,
10/5/2020,2020,8,Gabion Cage,2,4,1,0.025,326,687,
10/5/2020,2020,8,Gabion Cage,2,1,2,0.025,183,351,
10/5/2020,2020,8,Gabion Cage,2,2,2,0.025,339,1036,
10/5/2020,2020,8,Gabion Cage,2,4,2,0.025,800,302,
10/5/2020,2020,0,Reef Ball,1,1,1,0.025,230,482,
10/5/2020,2020,0,Reef Ball,1,2,1,0.025,167,560,
10/5/2020,2020,0,Reef Ball,1,3,1,0.025,96,547,
10/5/2020,2020,0,Reef Ball,1,4,1,0.025,200,727,
10/5/2020,2020,0,Reef Ball,1,1,2,0.025,91,346,
10/5/2020,2020,0,Reef Ball,1,2,2,0.025,150,540,
10/5/2020,2020,0,Reef Ball,1,3,2,0.025,147,635,
10/5/2020,2020,0,Reef Ball,1,4,2,0.025,62,271,
10/5/2020,2020,1,Reef Ball,1,1,1,0.025,272,530,
10/5/2020,2020,1,Reef Ball,1,2,1,0.025,266,627,
10/5/2020,2020,1,Reef Ball,1,3,1,0.025,423,858,
10/5/2020,2020,1,Reef Ball,1,4,1,0.025,244,622,
10/5/2020,2020,1,Reef Ball,1,1,2,0.025,395,1108,
10/5/2020,2020,1,Reef Ball,1,2,2,0.025,380,786,
10/5/2020,2020,1,Reef Ball,1,3,2,0.025,360,906,
10/5/2020,2020,1,Reef Ball,1,4,2,0.025,219,948,
10/5/2020,2020,1,Reef Ball,2,1,1,0.025,624,1124,
10/5/2020,2020,1,Reef Ball,2,2,1,0.025,285,552,
10/5/2020,2020,1,Reef Ball,2,3,1,0.025,508,1211,
10/5/2020,2020,1,Reef Ball,2,4,1,0.025,309,950,
10/5/2020,2020,1,Reef Ball,2,1,2,0.025,385,551,
10/5/2020,2020,1,Reef Ball,2,2,2,0.025,433,844,
10/5/2020,2020,1,Reef Ball,2,3,2,0.025,467,675,
10/5/2020,2020,1,Reef Ball,2,4,2,0.025,461,702,
10/5/2020,2020,1,Reef Ball,2,1,3,0.025,315,608,
10/5/2020,2020,1,Reef Ball,3,1,1,0.025,258,1000,
10/5/2020,2020,1,Reef Ball,3,3,1,0.025,354,1119,
10/5/2020,2020,1,Reef Ball,3,4,1,0.025,299,859,
10/5/2020,2020,1,Reef Ball,3,2,1,0.025,257,447,
10/5/2020,2020,1,Reef Ball,3,1,2,0.025,276,896,
10/5/2020,2020,1,Reef Ball,3,3,2,0.025,369,877,
10/5/2020,2020,1,Reef Ball,3,4,2,0.025,361,786,
10/5/2020,2020,1,Reef Ball,3,2,2,0.025,381,653,
10/5/2020,2020,1,Reef Ball,4,1,1,0.025,203,759,
10/5/2020,2020,1,Reef Ball,4,2,1,0.025,178,406,
10/5/2020,2020,1,Reef Ball,4,3,1,0.025,218,547,
10/5/2020,2020,1,Reef Ball,4,4,1,0.025,276,495,
10/5/2020,2020,1,Reef Ball,4,1,2,0.025,177,633,
10/5/2020,2020,1,Reef Ball,4,2,2,0.025,159,437,
10/5/2020,2020,1,Reef Ball,4,3,2,0.025,281,465,
10/5/2020,2020,1,Reef Ball,4,4,2,0.025,199,261,
10/5/2020,2020,8,Reef Ball,1,2,1,0.025,97,652,
10/5/2020,2020,8,Reef Ball,1,3,1,0.025,281,434,
10/5/2020,2020,8,Reef Ball,1,4,1,0.025,283,442,
10/5/2020,2020,8,Reef Ball,1,2,2,0.025,148,445,
10/5/2020,2020,8,Reef Ball,1,4,2,0.025,315,356,
10/5/2020,2020,8,Reef Ball,2,3,1,0.025,277,243,
10/5/2020,2020,8,Reef Ball,2,2,1,0.025,138,180,
10/5/2020,2020,8,Reef Ball,2,1,1,0.025,377,324,
10/5/2020,2020,8,Reef Ball,2,3,2,0.025,171,451,
10/5/2020,2020,8,Reef Ball,2,2,2,0.025,295,596,
10/5/2020,2020,8,Reef Ball,2,1,2,0.025,304,320,
10/5/2020,2020,8,Reef Ball,3,1,1,0.025,272,552,
10/5/2020,2020,8,Reef Ball,3,2,1,0.025,236,577,
10/5/2020,2020,8,Reef Ball,3,3,1,0.025,70,123,
10/5/2020,2020,8,Reef Ball,3,4,1,0.025,207,501,
10/5/2020,2020,8,Reef Ball,3,1,2,0.025,287,128,
10/5/2020,2020,8,Reef Ball,3,2,2,0.025,288,382,
10/5/2020,2020,8,Reef Ball,3,3,2,0.025,298,663,
10/5/2020,2020,8,Reef Ball,3,4,2,0.025,267,551,
10/5/2020,2020,8,Reef Ball,4,1,1,0.025,344,932,
10/5/2020,2020,8,Reef Ball,4,2,1,0.025,277,410,
10/5/2020,2020,8,Reef Ball,4,2,1,0.025,364,184,
10/5/2020,2020,8,Reef Ball,4,3,1,0.025,370,451,
10/5/2020,2020,8,Reef Ball,4,4,1,0.025,398,524,
10/5/2020,2020,8,Reef Ball,4,2,2,0.025,243,459,
10/5/2020,2020,8,Reef Ball,4,3,2,0.025,377,494,
10/5/2020,2020,8,Reef Ball,4,4,2,0.025,100,195,
10/5/2020,2020,8,Gabion Cage,1,4,NA,NA,NA,NA,No Data Listed
10/5/2020,2020,8,Reef Ball,1,1,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,1,Gabion Cage,2,3,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,1,Gabion Cage,2,4,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,8,Gabion Cage,1,1,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,8,Gabion Cage,1,2,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,8,Gabion Cage,1,3,NA,NA,NA,NA,No Data Listed
10/30/2019,2019,8,Gabion Cage,1,4,NA,NA,NA,NA,No Data Listed
